year	paper-Name	author
2003	User-Level Performance of Channel-Aware Scheduling Algorithms in Wireless Data Networks	Sem Borst, Bell Labs
2002	Priority Service and Max-Min Fairness	Peter Marbach, University of Toronto
2001	Mobility increases the capacity of ad-hoc wireless networks	Matthias Grossglauser, AT&T Laboratories ;David Tse, University of California, Berkeley
2000	The Chaotic Nature of TCP Congestion Control	András Veres & Miklós Boda, Ericsson
1999	Bandwidth Sharing: Objectives and Algorithms	Laurent Massoulié, Microsoft ;James Robert, France Telecom
1998	Effective Bandwidths in Wireless Networks with Multiuser Receivers	David Tse, University of California, Berkeley ;Stephen Hanly, University of Melbourne
1996	An algorithm for multicast tree generation in networks with asymmetric links	Ram Ramanathan, BBN Technologies
KDD (Data Mining)		
2021	Fast and Memory-Efficient Tucker Decomposition for Answering Diverse Time Range Queries	Jun-gi Jang & U Kang, Seoul National University
2020	On Sampled Metrics for Item Recommendation	Walid Krichene & Steffen Rendle, Google
2019	Optimizing Impression Counts for Outdoor Advertising	Yipeng Zhang, RMIT University;Yuchen Li, Singapore Management University ;Zhifeng Bao, RMIT University ;Songsong Mo, Wuhan University ;Ping Zhang, Huawei
2018	Adversarial Attacks on Neural Networks for Graph Data	Daniel Zügner, Technical University of Munich;Amir Akbarnejad, Technical University of Munich ;Stephan Günnemann, Technical University of Munich
2017	Accelerating Innovation Through Analogy Mining	Tom Hope, Hebrew University of Jerusalem;Joel Chan, Carnegie Mellon University ;Aniket Kittur, Carnegie Mellon University ;Dafna Shahaf, Hebrew University of Jerusalem
2016	FRAUDAR: Bounding Graph Fraud in the Face of Camouflage	Bryan Hooi, Carnegie Mellon University;Hyun Ah Song, Carnegie Mellon University ;Alex Beutel, Carnegie Mellon University ;Neil Shah, Carnegie Mellon University ;Kijung Shin, Carnegie Mellon University ;Christos Faloutsos, Carnegie Mellon University
2015	Efficient Algorithms for Public-Private Social Networks	Flavio Chierichetti, Sapienza University of Rome;Alessandro Epasto, Brown University ;Ravi Kumar, Google ;Silvio Lattanzi, Google ;Vahab Mirrokni, Google
2014	Reducing the Sampling Complexity of Topic Models	Aaron Li, Carnegie Mellon University;Amr Ahmed, Google ;Sujith Ravi, Google ;Alexander Smola, Carnegie Mellon University
2013	Simple and Deterministic Matrix Sketching	Edo Liberty, Yahoo
2012	Searching and Mining Trillions of Time Series Subsequences under Dynamic Time Warping	Thanawin Rakthanmanon, University of California, Riverside;Bilson Campana, University of California, Riverside ;Abdullah Mueen, University of California, Riverside ;Gustavo Batista, University of São Paulo ;Brandon Westover, Brigham and Women's Hospital ;Qiang Zhu, University of California, Riverside ;Jesin Zakaria, University of California, Riverside ;Eamonn Keogh, University of California, Riverside
2011	Leakage in Data Mining: Formulation, Detection, and Avoidance	Shachar Kaufman, Tel Aviv University;Saharon Rosset, Tel Aviv University ;Claudia Perlich, Media6Degrees
2010	Connecting the dots between news articles	Dafna Shahaf & Carlos Guestrin, Carnegie Mellon University
	Large linear classification when data cannot fit in memory	Hsiang-Fu Yu, National Taiwan University;Cho-Jui Hsieh, National Taiwan University ;Kai-Wei Chang, National Taiwan University ;Chih-Jen Lin, National Taiwan University
2009	Collaborative Filtering with Temporal Dynamics	Yehuda Koren, Yahoo
2008	Fastanova: an efficient algorithm for genome-wide association study	Xiang Zhang, University of North Carolina at Chapel Hill;Fei Zou, University of North Carolina at Chapel Hill ;Wei Wang, University of North Carolina at Chapel Hill
2007	Predictive discrete latent factor models for large scale dyadic data	Deepak Agarwal & Srujana Merugu, Yahoo
2006	Training linear SVMs in linear time	Thorsten Joachims, Cornell University
2005	Graphs over time: densification laws, shrinking diameters and possible explanations	Jure Leskovec, Carnegie Mellon University;Jon Kleinberg, Cornell University ;Christos Faloutsos, Carnegie Mellon University
2004	A probabilistic framework for semi-supervised clustering	Sugato Basu, University of Texas at Austin;Mikhail Bilenko, University of Texas at Austin ;Raymond J. Mooney, University of Texas at Austin
2003	Maximizing the spread of influence through a social network	David Kempe, Cornell University;Jon Kleinberg, Cornell University ;Éva Tardos, Cornell University
2002	Pattern discovery in sequences under a Markov assumption	Darya Chudova & Padhraic Smyth, University of California, Irvine
2001	Robust space transformations for distance-based operations	Edwin M. Knorr, University of British Columbia;Raymond T. Ng, University of British Columbia ;Ruben H. Zamar, University of British Columbia
2000	Hancock: a language for extracting signatures from data streams	Corinna Cortes, AT&T Laboratories;Kathleen Fisher, AT&T Laboratories ;Daryl Pregibon, AT&T Laboratories ;Anne Rogers, AT&T Laboratories
1999	MetaCost: a general method for making classifiers cost-sensitive	Pedro Domingos, Universidade Técnica de Lisboa
1998	Occam's Two Razors: The Sharp and the Blunt	Pedro Domingos, Universidade Técnica de Lisboa
1997	Analysis and Visualization of Classifier Performance: Comparison under Imprecise Class and Cost Distributions	Foster Provost & Tom Fawcett, NYNEX Science and Technology
MOBICOM (Mobile)		
2021	mSAIL: Milligram-Scale Multi-Modal Sensor Platform for Monarch Butterfly Migration Tracking	Inhee Lee, University of Pittsburgh;Roger Hsiao, University of Michigan ;Gordy Carichner, University of Michigan ;Chin-Wei Hsu, University of Michigan ;Mingyu Yang, University of Michigan ;Sara Shoouri, University of Michigan ;Katherine Ernst, University of Michigan ;Tess Carichner, University of Michigan ;Yuyang Li, University of Pittsburgh ;Jaechan Lim, University of Michigan ;Cole R. Julick, University of Nebraska–Lincoln ;Eunseong Moon, University of Michigan ;Yi Sun, University of Michigan ;Jamie Phillips, University of Delaware ;Kristi L. Montooth, University of Nebraska–Lincoln ;Delbert A. Green II, University of Michigan ;Hun-Seok Kim, University of Michigan ;David Blaauw, University of Michigan
2020	Hummingbird: Energy Efficient GPS Receiver for Small Satellites	Sujay Narayana, Delft University of Technology;R Venkatesha Prasad, Delft University of Technology ;Vijay S Rao, Delft University of Technology ;Luca Mottola, Politecnico di Milano ;T Venkata Prabhakar, Indian Institute of Science Bangalore
	M-Cube: a millimeter-wave massive MIMO software radio	Renjie Zhao, University of California, San Diego;Timothy Woodford, University of California, San Diego ;Teng Wei, University of California, San Diego ;Kun Qian, University of California, San Diego ;Xinyu Zhang, University of California, San Diego
2019	eBP: A Wearable System For Frequent and Comfortable Blood Pressure Monitoring From User's Ear	Nam Bui, University of Colorado Boulder;Nhat van Pham, University of Colorado Boulder ;Jessica Jacqueline Barnitz, University of Colorado Boulder ;Zhanan Zou, University of Colorado Boulder ;Phuc Nguyen, University of Colorado Boulder ;Anh-Hoang Truong, University of Colorado Boulder ;Taeho Kim, University of Colorado Boulder ;Nicholas Farrow, University of Colorado Boulder ;Anh Nguyen, University of Colorado Boulder ;Jianliang Xiao, University of Colorado Boulder ;Robin R. Deterding, Children's Hospital Colorado ;Thang N. Dinh, University of Colorado Boulder ;Tam Vu, University of Colorado Boulder
	FLUID: Flexible User Interface Distribution for Ubiquitous Multi-device Interaction	Sangeun Oh, KAIST;Ahyeon Kim, KAIST ;Sunjae Lee, KAIST ;Kilho Lee, KAIST ;Dae R. Jeong, KAIST ;Steve Ko, University at Buffalo ;Insik Shin, KAIST
2018	SkyCore: Moving Core to the Edge for Untethered and Reliable UAV-based LTE Networks	Mehrdad Moradi, University of Michigan;Karthikeyan Sundaresan, NEC Labs America ;Eugene Chai, NEC Labs America ;Sampath Rangarajan, NEC Labs America ;Z. Morley Mao, University of Michigan
2017	WEBee: Physical-Layer Cross-Technology Communication via Emulation	Zhijun Li & Tian He, University of Minnesota
2015	CAreDroid: Adaptation Framework for Android ContextAware Applications	Salma Elmalaki, University of California, Los Angeles;Lucas Wanner, University of California, Los Angeles ;Mani Srivastava, University of California, Los Angeles
2014	Tagoram: Real-Time Tracking of Mobile RFID Tags to High Precision Using COTS Devices	Lei Yang, Tsinghua University;Yekui Chen, Tsinghua University ;Xiang-Yang Li, Illinois Institute of Technology ;Chaowei Xiao, Tsinghua University ;Mo Li, Nanyang Technological University ;Yunhao Liu, Tsinghua University
2013	Whole-Home Gesture Recognition Using Wireless Signals	Qifan Pu, University of Washington;Sidhant Gupta, University of Washington ;Shyamnath Gollakota, University of Washington ;Shwetak Patel, University of Washington
2012	Distinguishing Users with Capacitative Touch Communication	Tam Vu, Rutgers University;Akash Baid, Rutgers University ;Simon Gao, Rutgers University ;Marco Gruteser, Rutgers University ;Richard Howard, Rutgers University ;Janne Lindqvist, Rutgers University ;Predag Spasojevic, Rutgers University ;Jeffrey Walling, Rutgers University
2011	E-MiLi: Energy-Minimizing Idle Listening in Wireless Networks	Xinyu Zhang & Kang G. Shin, University of Michigan
	Detecting Driver Phone Use Leveraging Car Speakers	Jie Yang, Stevens Institute of Technology;Simon Sdhom, Stevens Institute of Technology ;Gayathri Chandrasekaran, Rutgers University ;Tam Vu, Stevens Institute of Technology ;Hongbo Liu, Stevens Institute of Technology ;Nicolae Cecan, Rutgers University ;Yingying Chen, Stevens Institute of Technology ;Marco Gruteser, Rutgers University ;Richard P. Martin, Rutgers University
2010	The κ Factor: Inferring Protocol Performance UsingInter-link Reception Correlation	Kannan Srinivasan, Stanford University;Mayank Jain, Stanford University ;Jung Il Choi, Stanford University ;Tahir Azim, Stanford University ;Edward S. Kim, University of Southern California ;Philip Levis, Stanford University ;Bhaskar Krishnamachari, University of Southern California
2009	CENTAUR: Realizing the Full Potential of Centralized WLANs through a Hybrid Data Path	Vivek Shrivastava, University of Wisconsin–Madison;Nabeel Ahmed, University of Waterloo ;Shravan Rayanchu, University of Wisconsin–Madison ;Suman Banerjee, University of Wisconsin–Madison ;Srinivasan Keshav, University of Waterloo ;Konstantina Papagiannaki, Intel ;Arunesh Mishra, Google
2008	Assessment of Urban-Scale Wireless Networks with a Small Number of Measurements	Joshua Robinson, Rice University;Ram Swaminathan, Hewlett Packard ;Edward W. Knightly, Rice University
NeurIPS (Machine Learning)		
2021	A Universal Law of Robustness via Isoperimetry	Sébastien Bubeck, Microsoft ;Mark Sellke, Stanford University
	On the Expressivity of Markov Reward	David Abel, DeepMind;Will Dabney, DeepMind ;Anna Harutyunyan, DeepMind ;Mark K. Ho, Princeton University ;Michael Littman, Brown University ;Doina Precup, DeepMind ;Satinder Singh, DeepMind
	Deep Reinforcement Learning at the Edge of the Statistical Precipice	Rishabh Agarwal, Google;Max Schwarzer, Université de Montréal ;Pablo Samuel Castro, Google ;Aaron Courville, Université de Montréal ;Marc G. Bellemare, Google
	MAUVE: Measuring the Gap Between Neural Text and Human Text using Divergence Frontiers	Krishna Pillutla, University of Washington;Swabha Swayamdipta, Allen Institute for Artificial Intelligence ;Rowan Zellers, University of Washington ;John Thickstun, Stanford University ;Sean Welleck, University of Washington ;Yejin Choi, Allen Institute for Artificial Intelligence ;Zaid Harchaoui, University of Washington
	Continuized Accelerations of Deterministic and Stochastic Gradient Descents, and of Gossip Algorithms	Mathieu Even, Inria;Raphaël Berthier, Inria ;Francis Bach, Inria ;Nicolas Flammarion, École Polytechnique Fédérale de Lausanne ;Pierre Gaillard, Université Grenoble Alpes ;Hadrien Hendrikx, Inria ;Laurent Massoulié, Inria ;Adrien Taylor, Inria
	Moser Flow: Divergence-based Generative Modeling on Manifolds	Noam Rozen, Weizmann Institue of Science;Aditya Grover, Facebook ;Maximilian Nickel, Facebook ;Yaron Lipman, Weizmann Institue of Science
	Reduced, Reused and Recycled: The Life of a Dataset in Machine Learning Research	Bernard Koch, University of California, Los Angeles;Emily Denton, Google ;Alex Hanna, Google ;Jacob Gates Foster, University of California, Los Angeles
	ATOM3D: Tasks on Molecules in Three Dimensions	Raphael John Lamarre Townshend, Stanford University;Martin Vögele, Stanford University ;Patricia Adriana Suriana, Stanford University ;Alexander Derry, Stanford University ;Alexander Powers, Stanford University ;Yianni Laloudakis, Stanford University ;Sidhika Balachandar, Stanford University ;Bowen Jing, Stanford University ;Brandon M. Anderson, University of Chicago ;Stephan Eismann, Stanford University ;Risi Kondor, Flatiron Institute ;Russ Altman, Stanford University ;Ron O. Dror, Stanford University
2020	No-Regret Learning Dynamics for Extensive-Form Correlated Equilibrium	Andrea Celli, Politecnico di Milano;Alberto Marchesi, Politecnico di Milano ;Gabriele Farine, Carnegie Mellon University ;Nicola Gatti, Politecnico di Milano
